npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8080
 HTTP  9/24/2026 11:51:57 AM ::1 GET /manifest.json
 HTTP  9/24/2026 11:51:57 AM ::1 Returned 200 in 297 ms
 HTTP  9/24/2026 11:54:25 AM ::1 GET /
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 15 ms
 HTTP  9/24/2026 11:54:25 AM ::1 GET /style.css
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 11:54:25 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:54:25 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:54:25 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:54:25 AM ::1 GET /app.js
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 4 ms
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 6 ms
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 7 ms
 HTTP  9/24/2026 11:54:25 AM ::1 Returned 200 in 11 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /api/sheets
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 404 in 6 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /sw.js
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 200 in 3 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /
 HTTP  9/24/2026 11:54:27 AM ::1 GET /index.html
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /style.css
 HTTP  9/24/2026 11:54:27 AM ::1 GET /index
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 301 in 0 ms
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 4 ms
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 2 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 0 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /app.js
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:54:27 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 304 in 1 ms
 HTTP  9/24/2026 11:54:27 AM ::1 GET /manifest.json
 HTTP  9/24/2026 11:54:27 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:55:47 AM ::1 GET /
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:55:47 AM ::1 GET /style.css
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:55:47 AM ::1 GET /initial-data.js
 HTTP  9/24/2026 11:55:47 AM ::1 GET /sheets-service.js
 HTTP  9/24/2026 11:55:47 AM ::1 GET /bgg-service.js
 HTTP  9/24/2026 11:55:47 AM ::1 GET /app.js
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 1 ms
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 2 ms
 HTTP  9/24/2026 11:55:47 AM ::1 Returned 200 in 1 ms
